127.0.0.1 - - [19/Mar/2013:22:59:24 +0900] "GET / HTTP/1.1" 404 976
0:0:0:0:0:0:0:1 - - [19/Mar/2013:22:59:48 +0900] "GET /struts1.3.10/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [19/Mar/2013:22:59:48 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [19/Mar/2013:22:59:48 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [19/Mar/2013:23:00:38 +0900] "GET /struts1.3.10/login HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [19/Mar/2013:23:00:38 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [19/Mar/2013:23:00:38 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [19/Mar/2013:23:00:43 +0900] "GET /struts1.3.10/login.jsp HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [19/Mar/2013:23:00:43 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [19/Mar/2013:23:00:43 +0900] "GET /favicon.ico HTTP/1.1" 404 998
