what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1364881143315
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364881147503
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1364881147503
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364881151815
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1364881152159
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1364881152346
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364881165737
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364881165924
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1364881167893
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364881167893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881171878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881296362
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364881298112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881301893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881331846
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364881334690
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1364881337284
opened,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1364881341143
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1364881341221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881344049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881394346
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1364881398049
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1364881399362
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364881400331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881404721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881419112
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1364881422315
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1364881422409
closed,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1364881422409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881423503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881471143
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364881472643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881477112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881478034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364881478081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881479753
error,log,,,"D:/usr/work/java-project/project-001/struts1.3.10/.metadata/.plugins/org.eclipse.wst.server.core/tmp1/wtpwebapps/struts1.3.10/WEB-INF/lib/oro-2.0.8.jar を削除できませんでした。他のプロセスによりロックされている可能性があります。",1364881480471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881489893
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364881490878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881493237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881573690
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364881578284
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1364881654799
opened,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1364881656549
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1364881656628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881658534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881681831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881683518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881701549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881703346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881704878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881707362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881736268
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1364881741471
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1364881741565
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364881742690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881746018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881764362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881765299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881766424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881768331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881890034
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1364881893518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881893971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881950018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364881951237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882084315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882086596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882240799
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1364882243612
closed,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1364882243612
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1364882244424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882249862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882276003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882281487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882284862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882288362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882293706
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1364882295799
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364882297534
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1364882299065
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364882299221
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1364882299221
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364882302440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882303174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882322315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882326799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882366581
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1364882370471
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364882374518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882378174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882379487
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364882379784
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1364882380518
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1364882380518
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1364882380518
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1364882380518
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1364882380518
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1364882380518
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1364882380518
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1364882380518
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1364882380518
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1364882380534
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1364882380534
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1364882380534
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1364882380534
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1364882380534
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1364882380534
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1364882380534
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1364882380534
